,text
1568,"b""@andywilmer totally appreciate your concerns here andy, we'll be able to get some answers on this for you. if you g\xe2\x80\xa6 https://t.co/d7mv5p5ggw"""
1569,"b'@tweetieluis02 hi there, luis. thanks for getting in touch. if he contacts barclaycard on 08001510900 (24/7) they c\xe2\x80\xa6 https://t.co/ayzvuzf3s9'"
1570,"b""@stellajday ah great news! glad to hear it's all sorted and sorry for the issues. nicola l"""
1571,"b""@cmartinofatx hi christopher. i'm really sorry about this. are there any error codes or messages showing when you try to log in? nicola l"""
1572,b'@andywilmer @amazonuk hi andy. have you reported this to us? can i also ask whether the fraudulent transactions hap\xe2\x80\xa6 https://t.co/zrdwavtzkm'
1573,b'@williammoser40 hi william. thanks for contacting us about this. what has caused you to believe that the site may be untrustworthy? nicola l'
1574,"b""@rodey_82 hi elaine. thanks for contacting us about this. i can confirm that this isn't a genuine message from us.\xe2\x80\xa6 https://t.co/fprrhuxtyn"""
1575,"b""@nzervoudis hi nick. sorry you're receiving unwanted mail. can i ask if you are, or have ever been a customer of ba\xe2\x80\xa6 https://t.co/rbifhgd3ru"""
1576,"b""@cjharrisonn hi callum. sorry to hear this. i'm unable to see all of the previous conversations you've had with us.\xe2\x80\xa6 https://t.co/cathvi9tlh"""
1577,"b""@paul_clarke hi paul. i'm really sorry about this. can i ask what you were calling us about? please feel free to dm\xe2\x80\xa6 https://t.co/8oyhcise3u"""
1578,"b""@neildanson can you just tell me the exact steps you're taking, before this code is appearing? nicola l"""
1579,"b'@williammoser40 hi william, is there anything i can help you with? christie'"
1580,"b'@stellajday hi stella, oh no, i\xe2\x80\x99m sorry you have had issues with this today. what happened when you tried to do thi\xe2\x80\xa6 https://t.co/w9n1zrvld5'"
1581,"b""@andrewhinkle4 hey andrew, thanks for your tweet! i'm so sorry you've had some issues logging in online. can you dm\xe2\x80\xa6 https://t.co/3vyuipwnjf"""
1582,"b'@caemson78 hi there, we are working on this and it should be resolved shortly :) thanks, dean.'"
1583,"b""@serpens1984 apologies, you'll need to contact my us colleagues @askbarclaysus monday to friday 9am-5pm est. thanks, dean."""
1584,"b'@jsaspo @serpens1984 hey jay, are you a us customer? thanks, dean.'"
1585,b'@serpens1984 @mdaj2071 you can log in to your own banks site/app and send it vie bank transfer? if you require the\xe2\x80\xa6 https://t.co/axua9w0ima'
1586,"b'@serpens1984 hey, sorry about that. what error messages are appearing? thanks, dean.'"
1587,"b""@ferreirh i understand and i am sorry about that helena. i'll check that out and pass it over to the team straight away. thanks, dean."""
1588,"b'@pueshang hey sandra, sorry to hear this. our fraud team will need to check that out for you, you can call them on\xe2\x80\xa6 https://t.co/vaiuop5tst'"
1589,"b'@ferreirh please accept my apologies, the team have confirmed that this is not possible and the details need changi\xe2\x80\xa6 https://t.co/t9ezq0c7z3'"
1590,"b""@stefitz26 hey, if you dm me i'll let you know how to get these stopped. thanks, dean. https://t.co/mpqb4etryv"""
1591,"b'@poppyoa i am sorry about that, if you drop me a dm i will let you know how to get these stopped. thanks, dean. https://t.co/mpqb4etryv'"
1592,"b'@pfoz please accept my apologies fozzie, if you would like to discuss this please feel free to drop me a dm. thanks\xe2\x80\xa6 https://t.co/khg5frlz5q'"
1593,"b'@simonrdickerson apologies simon,  an i help you over here at all? thanks, dean.'"
1594,"b'@neildanson hi neil, sorry this is happening. you can call our digital team on 0800 161 5300 to check this out. thanks, dean.'"
1595,"b'@ferreirh hi helena, do you have the link where you found the details about the transactions please? the team have\xe2\x80\xa6 https://t.co/ls5jk8kkx1'"
1596,b'@786_khan_123 you will have a daily cash limit as well as an overall cash limit; and this is not something that can\xe2\x80\xa6 https://t.co/51pwa0pfqv'
1597,"b""@786_khan_123 once you've been billed you can make a payment to the account and this will be credited to the cash a\xe2\x80\xa6 https://t.co/8goswasvlu"""
1598,"b'@786_khan_123 no, the amount will be reset once you have cleared your cash balance. thanks, dean.'"
1599,"b""@mdaj2071 apologies mark, i have spoken to the team and this should be fixed shortly. if you're needing to make a p\xe2\x80\xa6 https://t.co/64yhqu4su0"""
1600,"b'@chamcghee hey charlie, thanks so much for the message! lovely to hear that our team have been able to get this sor\xe2\x80\xa6 https://t.co/9yy96kmfqf'"
1601,"b""@khaslam1 thanks kevin, where did you send this email too? dm me if you'd like? thanks, dean. https://t.co/mpqb4etryv"""
1602,"b'@garyhay63 hey gary, these offers are added at the start of each month and we use information from your account as\xe2\x80\xa6 https://t.co/7osdhjppky'"
1603,"b'@ferreirh not yet helena, i will drop them another message now. thanks, dean.'"
1604,"b'@khaslam1 i am sorry to hear this kevin, are you a uk or us customer? thanks, dean.'"
1605,"b'@dionmellows apologies dion, if you dm me your phone number i can check this out for you. thanks, dean. https://t.co/mpqb4etryv'"
1606,"b'@smdofficial great to hear sandy, apologies that this was not resolved initially. thanks, dean.'"
1607,"b'@paddytaylor apologies paddy, can i help you with anything? thanks, dean.'"
1608,"b""@smdofficial that's disappointing to hear, sandy. did they say when they'd be calling you back about this? kristos"""
1609,"b'@christianagb94 no worries at all, christiana :) kristos'"
1610,"b""@smdofficial that's strange, i'm sorry to hear that. did they say which team you needed to speak with, sandy? kristos"""
1611,"b'@smdofficial i understand sandy, perhaps calling us using skype at your own convenience would be a better option? steven'"
1612,"b'@786_khan_123 hi there, thanks for getting in touch. are you referring to a cash withdrawal? kristos'"
1613,"b'@christianagb94 hi christiana. yes, the minimum payment is a percentage of the balance. this can vary between the d\xe2\x80\xa6 https://t.co/c3078fwtyz'"
1614,"b'@daviddlow if you\xe2\x80\x99re telling me that both are completely up to date, i think we\xe2\x80\x99d need to raise this with our digit\xe2\x80\xa6 https://t.co/7wbzwv5uyn'"
1615,"b'@daviddlow thanks david. this type of error is normally directly related to version of the app, or the software it\xe2\x80\x99s running on. 1/2'"
1616,"b""@simonrdickerson hi there, simon. i'm sorry to hear about the wait times on getting through to the team. yes, we so\xe2\x80\xa6 https://t.co/etoynbxd9d"""
1617,"b""@mikedenaro1 hey mikey, thanks for tweeting! ahh i'm sorry you're having these problems :( can i just check, is thi\xe2\x80\xa6 https://t.co/oyxwbdj5ue"""
1618,"b'@paddytaylor hi paddy. i\xe2\x80\x99m sorry about your wait initially. the survey responses are automatically generated, based\xe2\x80\xa6 https://t.co/asyvp59vxe'"
1619,"b""@smdofficial i'm really sorry, sandy. i wish i could influence the speed of that callback but i'm not able to :( i\xe2\x80\xa6 https://t.co/n8tmx1121m"""
1620,"b""@cdeakin90 hey chris, i've checked and this is being looked into and should be resolved within the next day or so :\xe2\x80\xa6 https://t.co/9s1uixkl5z"""
1621,"b""@cdeakin90 hey chris thanks for dropping by and i'm sorry to hear you're having trouble getting logged in. are you\xe2\x80\xa6 https://t.co/0ql4xax0ws"""
1622,"b'@ferreirh i will reach out to our digital experts about this helena and get back to you as soon as i can. thanks, dean.'"
1623,"b""@4likhan1 i am sorry to hear that ali, do you know what team you've been speaking to? dm me more details if you'd l\xe2\x80\xa6 https://t.co/dolm2gfb5e"""
1624,"b'@ferreirh hi helena, have you tried to do that? thanks, dean.'"
1625,"b""@fiona_leslie hey fiona, this isn't what we like to hear :( i'm sorry it's been a pain trying to get this sorted! c\xe2\x80\xa6 https://t.co/tboc55a3gl"""
1626,"b'@asfandk12976429 thank you for confirming, if you dm me your postcode and phone number i can check this out for you\xe2\x80\xa6 https://t.co/afqwzov81m'"
1627,"b'@asfandk12976429 please accept my apologies asfand, what have the team advised you to do? thanks, dean.'"
1628,"b""it's time to jump the queue and get 10% off every #presale ticket for the @isleofwightfest 2020:\xe2\x80\xa6 https://t.co/n2tslvctwg"""
1629,"b""@bottle_job hey, it should by now. if it's not been processed then you can do this in the app or website and it wil\xe2\x80\xa6 https://t.co/lehx9myydb"""
1630,"b'@jemmaleckeyohag @monzo not 100% sure jemma, but i have contacted the relevant team for some details. if/when i hea\xe2\x80\xa6 https://t.co/c4iwtslrsi'"
1631,"b'@jemmaleckeyohag @monzo sure, sort code 20-04-15 and account number 38290008. thanks, dean.'"
1632,"b'@jemmaleckeyohag @monzo you can set up a standing order to pay your barclaycard from either account, using our sort\xe2\x80\xa6 https://t.co/bjkl6cmkmi'"
1633,"b'@fipetrie i am sorry about this, have you managed to resolve the problem? thanks, dean.'"
1634,"b""@jemmaleckeyohag at the moment jemma, the team are working on this so hopefully it won't be long before we can do this. thanks, dean."""
1635,"b""@jemmaleckeyohag if it's from an account we can't accept you'll need to either set it up from a bank we can or pay\xe2\x80\xa6 https://t.co/rcppkxqstc"""
1636,"b'@jemmaleckeyohag hey jemma, i will get this reported to the relevant team for you. thanks, dean.'"
1637,"b""@fipetrie apologies, these cases are dealt with by a specialist team. i am sure they'll pick up and get this sorted soon. thanks, dean."""
1638,"b""@fipetrie hi there, apologies you're unable to get through. can i help you with anything at all? thanks, dean."""
1639,b'@maberesford i totally understand your frustration. i would maybe try again this morn as they may be less busy. leanne'
1640,"b""@sparkypatrick good morning patrick, i'm sad to hear you're thinking of leaving us and hope you change your mind. h\xe2\x80\xa6 https://t.co/o4rs9he9qy"""
1641,"b""@doughnut_song i'm really sorry it's still not working for you rob. have you called the technical team as advised b\xe2\x80\xa6 https://t.co/tgscfvfvxe"""
1642,"b""@craigfeg you're welcome. if you have any queries in future, please drop us a message we're available 24/7. leanne"""
1643,"b""@junejunieliz hi there, i'm really sorry to hear you're having issues. i've responded to your dm. -kev"""
1644,"b""@smdofficial ah i'm really sorry about this, we have a few specialist areas who are not 24/7, if your account needs\xe2\x80\xa6 https://t.co/qmpgpjq2en"""
1645,"b'@spacemaid hi there, apologies about this. it looks like it could be an issue with either your device reading a cer\xe2\x80\xa6 https://t.co/tct0nid5ob'"
1646,"b'@alexanderchriss hi alexander, i am really sorry about this. we are aware of an issue affecting a small number of c\xe2\x80\xa6 https://t.co/k44e6sfpag'"
1647,"b""@smdofficial hi sandy, i'm really sorry you've been affected by the issues online. you will need to speak with our\xe2\x80\xa6 https://t.co/lfiicc9fwk"""
1648,"b""@efc_adam1 hi adam, thanks for getting in touch. the payment date is based on your statement date, which can't be c\xe2\x80\xa6 https://t.co/bw9ptkvgib"""
1649,"b'@craigfeg hi craig, sorry to hear you are locked out of the app, can you tell me what error codes you get or error messages? leigh'"
1650,"b'@maberesford hi mark, i am really dory to hear that you had such a long wait to get through to the team. i understa\xe2\x80\xa6 https://t.co/uerpxthqtq'"
1651,"b'@bottle_job hi there. once your balance transfer request has been processed, payment will be received by your bank\xe2\x80\xa6 https://t.co/uq798yvuah'"
1652,"b""@meljunior5 hi there, i'm really sorry about the wait to speak with us. we're really busy at the moment for cyber m\xe2\x80\xa6 https://t.co/7lcck6oht1"""
1653,"b""@olie101 hi olie, we are a little busy at the moment. can i ask what you need to speak to us about please? i'll see\xe2\x80\xa6 https://t.co/8rmybaw1ja"""
1654,b'@808r4y that\xe2\x80\x99s some poor biscuit choices there. hobknobs or golden crunch creams is where it\xe2\x80\x99s at. andy.'
1655,"b""@oria77 hi geoff. not sure what's going on there. if you dm me i can get one of the team to give you a call tomorro\xe2\x80\xa6 https://t.co/wvvxduzder"""
1656,"b""@tw33tie1 hi there, we'd need to take a look into that. have you checked it out with your bank too? just drop me a\xe2\x80\xa6 https://t.co/qpbewhulpe"""
1657,"b'@martinport hi martin, if you paid in full one day late you will have been charged interest. if you dm me i can giv\xe2\x80\xa6 https://t.co/pv0hcucdu4'"
1658,"b'@808r4y hey rob, 6 numbers and 6 letters can be a pain. i like to use things that are dear to my heart, like my loc\xe2\x80\xa6 https://t.co/efwjzbt4eg'"
1659,"b'@jcasiot hi jonathan, apologies for any inconvenience this is causing. this should be fixed very soon. thanks nicola'"
1660,"b'@sheemeeheer hi there, if you dm me your name, phone number and postcode i can take a look into that for you if you\xe2\x80\xa6 https://t.co/vruxuxpbco'"
1661,"b""@sheemeeheer that's odd, i'll get this reported the right team straight away. thanks, dean."""
1662,"b""@tward34 please accept my apologies tracey, i'm not sure why that's happened. i'd recommend you call our digital te\xe2\x80\xa6 https://t.co/6klcapmgde"""
1663,"b'@davenoisome please accept my apologies dave, we just want to make sure that our customers are aware the letter has\xe2\x80\xa6 https://t.co/tkuhzf5jpz'"
1664,"b""@monza972 @revolutapp @monzo i have no news to update you on this i'm afraid monil. i will however pass your feedba\xe2\x80\xa6 https://t.co/nm46j4zkkw"""
1665,"b""@calsychat i'll pass your feedback on damien, but it is our process to verify that information. thanks nicola"""
1666,b'@calsychat is it damien. i am seeing this with customers who are using a username or card number to log in. if you\xe2\x80\xa6 https://t.co/ekqeqxmwnj'
1667,"b""@skat_cat hi there, sorry you're holding. if you dm me dets of what you query is and i'll see how i can help. thank\xe2\x80\xa6 https://t.co/cgecmbtlgj"""
1668,"b'@luludcruz hey lucy, sorry about that. i have notified our app team as a few customers have seen the same issue, wh\xe2\x80\xa6 https://t.co/7mjpao9ekm'"
1669,"b'@heapy71 thanks steve, can ou give our digital team a call to check that out as it should be fine. their number is\xe2\x80\xa6 https://t.co/vziltdaxok'"
1670,"b""@heapy71 that's odd steve, what iphone are you using? thanks, dean."""
1671,"b'@takism_ please accept my apologies takis, can i help you with anything at all? thanks, dean.'"
1672,"b'@georgeformless hi george, we do offer some alternative contact methods, if you follow this link check which may be\xe2\x80\xa6 https://t.co/fkolarsdb3'"
1673,"b""@debbieodle3 it's just for the initial registration debbie. thanks, dean."""
1674,"b'@mariellac14 sorry about that mariella, can i help you at all? thanks, dean.'"
1675,"b""@debbieodle3 hi debbie, i'm sorry about this. the pinsentry reader is there as an added layer of security upon regi\xe2\x80\xa6 https://t.co/p8vuec0pr2"""
1676,b'don\xe2\x80\x99t be fooled by fraudsters this #cybermonday \xf0\x9f\x95\xb5\xef\xb8\x8f\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f use our fraud fighter tool to help you stay safe:\xe2\x80\xa6 https://t.co/p9p0pcpuv7'
1677,"b""@rjunplugged hi robin, i have the s10 and have no trouble with the app at the moment. you'll need to get this repor\xe2\x80\xa6 https://t.co/396o6uxd6n"""
1678,"b""@a_j_92 hey ash, yeah that's right! thanks, dean."""
1679,b'@sheenkelly hi sheen. you can give us a call on 0800 151 0900 or 0333 200 9090 (24/7) and we can get it closed down for you. andy.'
1680,"b""@sarahspoon i've responded to your dm now, don't worry, we will get this sorted. -kev"""
1681,"b'@annamarie626 hi anna, we deal specifically with barclaycard in the uk, but our friends @askbarclaysus will be able\xe2\x80\xa6 https://t.co/76vac4znug'"
1682,"b""@sarahspoon i'd like to check and see if they're genuine. can you send a screenshot over in dm of the texts please? cody 2/2"""
1683,"b""@sarahspoon hey there, it's nice to have you back with us and apologies for your long wait, we've been really busy\xe2\x80\xa6 https://t.co/h9boqakh55"""
1684,"b""@richardb_afc hi rich, that's odd was this just today or has this been going on for a while? - dan"""
1685,"b""@sarahspoon hello there, i'd like to know a little more about what's happened are you able to pop into dm? jo https://t.co/mpqb4etryv"""
1686,"b'@realdazzler i understand there was problems with you doing this on the app. you can try to call again today, or if\xe2\x80\xa6 https://t.co/tokzvj0shp'"
1687,"b""@realdazzler sorry to hear that :( do you have access to our online banking? you can report this there, if you're h\xe2\x80\xa6 https://t.co/tpzdhzhtu3"""
1688,"b'@chris_murphy1 hi chris, we would need to check this over further with your profile securely.  please call our mobi\xe2\x80\xa6 https://t.co/tspxoskgcm'"
1689,"b'@julio_afonso522 hi julio, please call our barclaycard team, so this can be looked into further securely and checke\xe2\x80\xa6 https://t.co/uhkseqtm0y'"
1690,"b""@rorororomana we're all contactless now anyway, no insertion required  \xf0\x9f\x91\x80   -kev"""
1691,b'@jodeehorserider i\xe2\x80\x99m not able to look at the dispute here but if you can give our disputes team a call on 0800 161\xe2\x80\xa6 https://t.co/mgsoz5nfsa'
1692,b'@jodeehorserider sorry for the delay in getting back to you. if you go to the home page and select \xe2\x80\x98cards\xe2\x80\x99 you shou\xe2\x80\xa6 https://t.co/d3v4zkts7h'
1693,"b""@benspiers hi ben, i'm really sorry to hear that you couldn't get this sorted on the call. is this a transaction on\xe2\x80\xa6 https://t.co/aruxsjzwlu"""
1694,"b'@areilialoves hi areilia. you\xe2\x80\x99d need to go to \xe2\x80\x98cards\xe2\x80\x99 on the home page, select the credit card then \xe2\x80\x98transfers and offers\xe2\x80\x99  andy.'"
1695,"b'@rjunplugged hi robin, it shouldn\xe2\x80\x99t be asking you to do that. is it kicking you our while you\xe2\x80\x99re doing something or\xe2\x80\xa6 https://t.co/8wcodfg0zu'"
1696,"b'@jodeehorserider it wouldn\xe2\x80\x99t effect that, that would still be looked at for you. andy.'"
1697,"b'@jodeehorserider ok, they shouldn\xe2\x80\x99t be able to do anything with just that but for peace of mind, you may want to co\xe2\x80\xa6 https://t.co/rrncoxeq2h'"
1698,b'@jodeehorserider was it just the long card number or did you give any other details like expiry etc? andy.'
1699,b'@jodeehorserider have you given out any details to this page? andy.'
1700,"b'@jodeehorserider hi jo-dee, i noticed your tweet. leave this with us and we\xe2\x80\x99ll take care of it. andy.'"
1701,"b'@dbrownemma hi emma. both our phone and live chat services are available 24/7, have you managed to speak with someone? andy.'"
1702,"b'@zakariahjn hi zak, the card is ready to use anywhere in the world so you don\xe2\x80\x99t need us to tell us you\xe2\x80\x99ll be using\xe2\x80\xa6 https://t.co/jxrc2jymtq'"
1703,"b""@mjhmancini hi michael, you'll need to speak with my friends over at barclaycard germany. you can reach them at:\xe2\x80\xa6 https://t.co/n8prno0dgc"""
1704,"b'@realdazzler in terms of your undelivered card, did you get this sorted? ashleigh 2/2'"
1705,"b'@realdazzler hi, firstly i want to apologise for the delay in getting to you, due to the high volume of messages fr\xe2\x80\xa6 https://t.co/goxan858rc'"
1706,"b""@mybreakingviews hey adebola this isn't what i like to see. what were you calling to do today? ashleigh"""
1707,b'the glitz and glamour of the #strictlycomedancing live tour 2020 is waltzing its way to @theo2 on fri 7 feb 2020 \xf0\x9f\x92\x83\xe2\x80\xa6 https://t.co/y4mlro9z4t'
1708,"b""@srdempster hello, what you're saying is correct and i'm sorry that you've been affected by this issue. a fix will\xe2\x80\xa6 https://t.co/x4ew85dd3j"""
1709,"b""@ferreirh i'm really sorry you've spent so long trying to sort this. let me speak with our technical team on your b\xe2\x80\xa6 https://t.co/cdbqggm3kk"""
1710,"b""@daniellegreeen hi danielle. we had some issues recently where the card was not showing in the app but it hasn't go\xe2\x80\xa6 https://t.co/bibuyj9qa9"""
1711,"b""@timbrennan85 so sorry about this, what's happening when you try and do it? are you getting any error messages? andy."""
1712,"b'@ferreirh please call our helpline on 08001510900 (24/7), so we can go through security and explore all options for you on this.  ross'"
1713,"b""@sally_w19 hi sally, i'm really sorry to hear you're having problems with our online services. everything should be\xe2\x80\xa6 https://t.co/wjbtxle3nt"""
1714,"b'@j89 hi there, sorry for the late reply.  what device and operating system version are you using?  also do you have\xe2\x80\xa6 https://t.co/k77pq4ah0s'"
1715,b'@ferreirh you can download and export csv information from your barclaycard.  here is our web page with more inform\xe2\x80\xa6 https://t.co/22m97qjmjm'
1716,"b""@theduchess1977 i'll reply now esther. thanks nicola"""
1717,"b""@theduchess1977 hi esther, sorry we're much busier than usual. if you'd like my help please dm me a bit more info.\xe2\x80\xa6 https://t.co/mljhir2n4l"""
1718,"b""@deborahpreraph i'm sorry but i leave at 6. we're here again tomorrow though if that's any help? thanks nicola"""
1719,b'@ferreirh we can order paper copies for you helena but are unable to send those electronically. thanks nicola'
1720,"b'@deborahpreraph hi deborah, if you need a call from me to help with this please drop me a dm. thanks nicola https://t.co/mpqb4etryv'"
1721,"b""@cantdigestme if you'd like to drop me a dm explaining a little more i'll see how i can help. thanks nicola https://t.co/mpqb4etryv"""
1722,b'@joncockroft ah great. if you do ever need anything just drop us a dm jon. thanks nicola'
1723,"b""@joncockroft of course jon. dm me your phone number and i'll call you. thanks nicola https://t.co/mpqb4etryv"""
1724,"b""@petecurtain1 ok pete, the team are receiving a lot of calls at the moment. if you pop into dm i'll help you furthe\xe2\x80\xa6 https://t.co/rftftyqjdn"""
1725,b'looking to bag a bargain this #blackfriday? keep a look out for fraudsters and use our fraud fighter tool to help y\xe2\x80\xa6 https://t.co/sepwfszo2j'
1726,"b""@neiljonesonline you're very welcome neil. enjoy your afternoon. :-) thanks nicola"""
1727,"b""@clkni hi claire, the team are experiencing a high volume of calls right now. if you'd like me to give you a call a\xe2\x80\xa6 https://t.co/ucfvtzdwu7"""
1728,"b""@neiljonesonline it'll go against the offer that ends soonest neil (a) that is if both balances have been billed. i\xe2\x80\xa6 https://t.co/iwqvl7lso2"""
1729,"b""@djdayo44 hi damien, if you dm me your postcode and phone number and initial query i'll see how i can help. thanks\xe2\x80\xa6 https://t.co/cbi9ufa9nr"""
1730,"b""@jwlancaster1 hi john, it's freepost, barclaycard disputes. i hope that helps. thanks nicola"""
1731,"b""@_jdm92 hi josh, we are aware of the issue and it's currently under investigation. i'll let you know as soon as i h\xe2\x80\xa6 https://t.co/ezkv8hhq6e"""
1732,"b""@jade_cherry95 hi jade, i'm sorry the team are very busy today so there are longer than usual queues through to the\xe2\x80\xa6 https://t.co/zr6uj6ypif"""
1733,"b""@cocktondanny i'll pop into dm now danny. thanks nicola"""
1734,"b'@petecurtain1 hi pete, are you having issues accessing your account via the website or the app? - dan'"
1735,"b'@reeceodonovan hi reece, if you call customer services team on 0800 151 0900 they may be able to play you your pin over the phone. - dan'"
1736,"b""@blackeysbeats hi there. if you send us a dm with your query details, full name, postcode and contact number i'll g\xe2\x80\xa6 https://t.co/bg0jt6zwgt"""
1737,"b""@ccwhitefield1 morning thanks for reaching out to us, sorry you're not a fan of our text we've been trying to human\xe2\x80\xa6 https://t.co/lkzedefywc"""
1738,"b""@timbrennan85 yes if you call customer services and ask to log a complaint you'll be passed through to the guys who can help. - dan"""
1739,"b'@carlinparry thanks for getting in touch carlin, i have replied to your dm. thanks. - dan'"
1740,"b'@barnsey_32 hi katherine, apologies about this. we were performing some maintenance during the night, which meant t\xe2\x80\xa6 https://t.co/ujczowwdsb'"
1741,"b'@shaneda_katrina hi shaneda, apologies about this. we were performing some maintenance during the night, which mean\xe2\x80\xa6 https://t.co/0sfy2edndu'"
1742,"b""@amadeinic hi there, nicola. thanks for getting in touch. we're currently undergoing a planned maintenance at the m\xe2\x80\xa6 https://t.co/rfe1elc36c"""
1743,"b'@jon_henshall hi jon thanks for getting in touch regarding this. there was some planned maintenance on the app, but\xe2\x80\xa6 https://t.co/bwsohgiivy'"
1744,"b""@carlinparry ah right, i've not heard of this happening, but i can see how this change may have caused this. i'd li\xe2\x80\xa6 https://t.co/557rqkt3jd"""
1745,"b""@reeceodonovan hi reece, i'm really sorry to hear it's ruined your shopping trip. i'd like to look at ways to get t\xe2\x80\xa6 https://t.co/8ttzmysnof"""
1746,"b""@lauren_brabin1 hi lauren, apologies about this. i've double checked the error, if you're sure the details are corr\xe2\x80\xa6 https://t.co/fdjlatfumf"""
1747,"b'@_mich_alice_ hi michelle, apologies about this. i can see we spoke in august and there was a letter sent on the 19\xe2\x80\xa6 https://t.co/6gn7xkcmfc'"
1748,"b""@katieefoulkes thanks for the suggestions and for feeding back your concerns too. i'll pass this on so we can look\xe2\x80\xa6 https://t.co/4udb8fgq4o"""
1749,"b""@stevros1988 hi daniel, apologies about this. i'd like to look in to it a little further and get this sorted. can y\xe2\x80\xa6 https://t.co/tu6oqixked"""
1750,"b""@timbrennan85 hi there, thanks for getting in touch. can i ask what error you're seeing with this? kristos"""
1751,"b'@katys_lotus ah, okay! thanks a lot for letting us know, apologies for any confusion along the way. kristos'"
1752,"b""@blackeysbeats hi there, thanks for getting in touch. i'm sorry to hear that, could you please tell me more about w\xe2\x80\xa6 https://t.co/r78cfc0ct0"""
1753,"b""@carlinparry i'm really not sure what impact your closed account would have had - never heard of it before, carlin.\xe2\x80\xa6 https://t.co/9cy5nxv6f4"""
1754,b'@carlinparry it sounds as though you need to speak to the app team to look into that carlin. the team are available\xe2\x80\xa6 https://t.co/yzgpx71xmm'
1755,"b'@ibex61 hi ashraf, this looks like the personal greeting message you set up on the app yourself. if you go into mor\xe2\x80\xa6 https://t.co/vzcouf1ofo'"
1756,"b'@pgoricha hi punam, have you raised an online dispute for this? thanks nicola'"
1757,"b""@littlemacarena i've passed that on for you. :-) thanks nicola"""
1758,b'@littlemacarena i can pass that on to our developers for you. we are working on a number of improvements at the mom\xe2\x80\xa6 https://t.co/omqw2tbyig'
1759,b'@katieefoulkes 2/2 you can find out more here: https://t.co/f4ec3fipg9  thanks nicola'
1760,"b'@katieefoulkes hi katie, due to new regulations you\xe2\x80\x99ll sometimes need to confirm it\xe2\x80\x99s you when you pay for things o\xe2\x80\xa6 https://t.co/eqhq1nm3kn'"
1761,"b'@gfriendy51 @simon_ntfc @uk_caa gary, can you dm me a number i can call you on? thanks nicola https://t.co/mpqb4etryv'"
1762,"b""@budgiesmuggler @ajbass77 hi there, if you drop me a dm with your full name, postcode and a number i'll be able to\xe2\x80\xa6 https://t.co/eq7ipnoxrt"""
1763,b'@suicidalhammer thanks for highlighting that. definitely not us andy. thanks nicola'
1764,"b""@mcbiiig hi there, i'll pick this up with you in dm. i can arrrange to get you through to the right team to help. thanks nicola"""
1765,"b""@mcbiiig please accept my apologies, i'll make sure this is fed back. can i help you with anything? thanks, dean."""
1766,"b""@shannonlgilstad @askbarclaysus i suspect as it's thanksgiving they may not be in the office unfortunately. thanks, dean."""
1767,"b""@petecurtain1 please accept my apologies pete, we're quite busy today. have you managed to get sorted? thanks, dean."""
1768,"b'@tazziggy okay chris, i would recommend calling the team to check that out then. thanks, dean.'"
1769,"b""@familysleuth ah you're very welcome geraldine. i know it was a time when you felt a little helpless in not the bes\xe2\x80\xa6 https://t.co/ivwpphcbr8"""
1770,"b""@missy_k83 if you can log in on the website you can do it there missy. or if it's easier for you dm me your phone n\xe2\x80\xa6 https://t.co/rhpitvkapw"""
1771,"b'@imjackmc please accept my apologies jack, can i help with anything here? thanks, dean.'"
1772,"b""@tallshaz i've responded to your original tweet about this. thanks, dean."""
1773,"b""@tallshaz please accept my apologies, you'll need to speak to our customer services team to arrange that. thanks, dean."""
1774,"b""@thedreamsociety can you tell me what number you're calling? jo"""
1775,"b""@thedreamsociety hello paul, i'm really sorry it's taking some time to reach us today. we're extremely busy. what i\xe2\x80\xa6 https://t.co/vq7czns7rp"""
1776,"b'@suzidog hmm, thanks mark! i think it might be best to speak with our app helpdesk on: 0800 161 5300 or +44 1452 82\xe2\x80\xa6 https://t.co/1kmn4abpzk'"
1777,"b""@suzidog hmm mark, this is a little unusual! sorry you're having trouble, this is usually temporary but i understan\xe2\x80\xa6 https://t.co/khvus56tgi"""
1778,"b""@lauraeemurray hi laura, i'm sorry to hear that you're having some issues :( do you see any error codes or messages\xe2\x80\xa6 https://t.co/h2fdekdpah"""
1779,"b""@tazziggy ah i'm sorry this is impacting you chris! resetting your details should fix this, so if you're still havi\xe2\x80\xa6 https://t.co/vcdnzxkwqb"""
1780,"b""@daiporkpie hey arfon, that's odd. are you able to download the statements through the app? thanks, dean."""
1781,"b""@shannonlgilstad ahh okay, you'll need to reach out to my colleagues in the us then @askbarclaysus monday to friday\xe2\x80\xa6 https://t.co/dcnpdqt5e9"""
1782,"b""@shannonlgilstad hey, can i check if you're a us or uk customer? thanks, dean."""
1783,"b'@tazziggy hi chris, i am sorry to hear you have had log in issues. can you tell me if there are any error codes or\xe2\x80\xa6 https://t.co/v86iklnjdp'"
1784,"b'@stecoxy87 hi stephen, can you tell me if you have been getting any error codes or error messages? at what point du\xe2\x80\xa6 https://t.co/jchqagv1db'"
1785,"b'@andrewnotandy1 @leebutterley hay andrew, that\xe2\x80\x99s great to hear. welcome to barclaycard! leigh'"
1786,"b""@ronbot1984 hi ronnie, i'm sorry you're having issues making this payment. i'd like to understand this a little bet\xe2\x80\xa6 https://t.co/peukfty1pl"""
